Type,LMMR,PRI,MCARI,NBNDVI
Treated,0.6626223279340041,0.7458801600371504,0.30926194315049854,0.4300430829655407
Treated,0.45740243794834906,0.7424038627890756,0.45773296051521345,0.4401320294481558
Treated,0.33246976291050956,0.6401568011355203,0.21192170604602797,0.4297128861662693
Treated,0.05121302681939441,0.33135621290320005,0.3252809027011745,0.4639584345930191
Treated,0.15374296899722822,0.38187277912008377,0.13290528572220084,0.4751420907774276
Treated,0.02574316491018719,0.39108874770599517,0.30074156033551297,0.4989915136597261
Treated,0.14938074672362567,0.4297172173213075,0.4987224107540748,0.5985750604380423
Treated,0.9122398626847443,0.5118626631672691,0.6957775625033615,0.6485239636103362
Treated,0.11340118800623443,0.37482504011516776,0.41539444996216385,0.5733511372550172
Treated,0.031414389145004475,0.3287811839625189,0.2737936677949575,0.5361835846124617
Treated,0.22600765735502198,0.2668292303499518,0.6268127445223343,0.6098056321223881
Treated,0.7163368093581907,0.3205012470298462,0.6656727505460517,0.6043452615621823
Treated,0.1466428589946851,0.3751065242497438,0.3213302291677309,0.41800151174733935
Treated,0.4590070750080437,0.6104225096471498,0.7118518013407629,0.4333765538284911
Treated,0.035404692513663114,0.20051647215613247,0.23118224687994662,0.43347150992695427
Treated,0.052611974420523615,0.34832586529552007,0.43538851908365583,0.4606061790389821
Treated,0.6162673607871759,0.5954264556577731,0.6334233252131981,0.503291404306463
Treated,0.11655972497730627,0.3485185185906641,0.2555586421008808,0.4576017633752814
Treated,0.02981514459176151,0.23093427180605203,0.26962439816843675,0.45471991821741126
Treated,0.5779969772929682,0.32760870984661783,0.46446889602653807,0.4852071920926158
Treated,0.6911149989342519,0.3864488254563807,0.4461379151828488,0.5314421492798259
Treated,0.16465008668317488,0.3389569349943924,0.1864290424872194,0.45395921281517715
Treated,0.06058915206435136,0.2745042083446717,0.5263923694929179,0.5457080080846336
Treated,0.32875490288427284,0.23446624661803225,0.6127081155612286,0.5859964313618389
Treated,0.4046496811279997,0.5165678249863265,0.34262959508036084,0.40016427986203446
Treated,0.09447628911582363,0.40961796191756344,0.21447023703904133,0.43279053171145526
Treated,0.3568392657034224,0.3492237787158076,0.2262925980283628,0.4501175914520148
Treated,0.5291281142964684,0.4827923250546316,0.6368658521559867,0.4802200135629357
Treated,0.2706331425461273,0.44069004170403264,0.3995672128496296,0.4223442960744907
Treated,0.1016167493381851,0.45278860593825976,0.3506084647656261,0.445342200608828
Treated,0.19015262879084782,0.5652051233119689,0.352410550422642,0.4432465000600484
Treated,0.03570242021140431,0.29891161105427577,0.10322048169885825,0.44589019032428706
Treated,0.17688594991296896,0.4363348228571786,0.3137638384014045,0.5095445631529493
Treated,0.012018010992554036,0.1767019427056001,0.22737940922736824,0.44199251385677546
Treated,0.12805392515194006,0.22502200265340822,0.5380152390027149,0.4674191317222855
Treated,0.2555952515766998,0.4088428755264542,0.43180113501361783,0.4257121021926878
