Type,505,515,525,535,545,555,565,575,585,595,605,615,625,635,645,655,665,675,685,695,705,715,725,735,745,755,765,775,785,795,805,815,825,835,845,855,865,875,885,895,905,915,925,935,945,955,965,975,985,995,1005,1015,1025,1035,1045,1055,1065,1075,1085,1095,1105,1115,1125,1135,1145,1155,1165,1175,1185,1195,1205,1215,1225,1235,1245,1255,1265,1275,1285,1295,1305,1315,1325,1335,1345,1355,1365,1375,1385,1395,1405,1415,1425,1435,1445,1455,1465,1475,1485,1495,1505,1515,1525,1535,1545,1555,1565,1575,1585,1595,1605,1615,1625,1635,1645,1655,1665,1675,1685,1695,1705,1715,1725,1735,1745,1755,1765,1775,1785,1795,1805,1815,1825,1835,1845,1855,1865,1875,1885,1895,1905,1915,1925,1935,1945,1955,1965,1975,1985,1995,2005,2015,2025,2035,2045,2055,2065,2075,2085,2095,2105,2115,2125,2135,2145,2155,2165,2175,2185,2195,2205,2215,2225,2235,2245,2255,2265,2275,2285,2295,2305,2315,2325,2335,2345,2355,2365,2375,2385,2395,2405,2415,2425,2435,2445,2455,2465,2475,2485,2495,2500
Healthy,6.24695,7.47541,8.76196,9.60083,10.41397,11.52191,12.96581,14.42017,15.61758,16.64896,17.21534,16.44978,15.50357,15.27484,13.87402,11.63554,8.77583,6.7575,7.69111,16.61502,28.93064,36.19023,39.708,41.37167,42.12572,42.45232,42.49124,42.56232,42.56958,42.57975,42.58321,42.56877,42.54539,42.50912,42.45929,42.40349,42.3505,42.28287,42.19979,42.08792,42.00567,41.90104,41.71789,41.48303,41.15345,40.57821,40.13077,39.9668,39.95047,39.93134,40.1605,40.4432,40.61352,40.7531,40.90317,41.0052,41.00543,41.00712,41.01211,40.92991,40.69312,40.58382,40.22227,39.52143,38.3447,37.31219,36.86066,36.6261,36.45684,36.28998,36.30582,36.51435,36.75303,36.86794,37.02031,37.11031,37.1218,37.07248,36.91427,36.5838,36.04391,35.26931,34.21788,32.99794,31.77772,30.62519,29.3689,27.27869,23.57397,18.78158,14.69013,12.26749,11.02237,10.40082,10.15337,10.1463,10.36459,10.91113,11.67903,12.61702,13.63303,14.6061,15.60441,16.57801,17.4743,18.3636,19.10118,19.86044,20.53009,21.12407,21.69305,22.16738,22.51781,22.79351,22.92945,22.94511,22.96011,23.02261,22.78074,22.40799,22.07034,21.77144,21.52209,21.16079,20.65304,20.11579,19.65863,19.35471,19.26302,19.32236,19.41022,19.41477,19.35754,19.10966,18.55623,17.41773,15.47994,12.42372,9.02084,6.36062,4.84189,4.34982,4.25958,4.28984,4.3696,4.4719,4.74277,4.97831,5.3094,5.71877,6.07102,6.441,6.93467,7.43729,7.77661,8.18811,8.53271,9.01767,9.56255,9.7853,10.32696,10.47384,10.84352,11.19271,11.51038,11.91166,12.25997,12.30078,12.62828,12.93152,12.89013,12.83892,13.15249,13.16413,12.82008,12.3627,11.95381,11.44464,11.09741,10.59232,10.31075,9.83354,9.61398,9.14364,8.91864,8.50708,8.36618,8.32554,7.95247,7.92361,7.81415,7.8761,7.44163,7.02726,7.0389,6.0158,5.80866,6.29882,5.41693,6.01918,5.8814
Healthy,6.02445,7.13753,8.42296,9.31252,10.17494,11.21573,12.56159,13.84469,14.90362,15.80763,16.23688,15.328,14.31975,14.04594,12.45172,10.30137,7.89054,6.24798,7.13038,16.04543,30.28572,39.66091,44.45571,46.77722,47.7957,48.22964,48.37496,48.43665,48.44421,48.44413,48.43781,48.42094,48.38053,48.33094,48.27815,48.20712,48.1216,48.03161,47.928,47.76245,47.63955,47.51484,47.29466,47.06959,46.68681,45.99075,45.44545,45.27219,45.14643,45.12031,45.28922,45.49165,45.70619,45.90884,46.04022,46.13365,46.14868,46.17458,46.14163,46.01905,45.82644,45.59379,45.16807,44.3382,42.94461,41.76532,41.13411,40.84782,40.58745,40.37824,40.38338,40.63793,40.88322,41.08257,41.21434,41.30329,41.3722,41.32527,41.10445,40.73911,40.14949,39.23281,37.98358,36.51849,35.06231,33.80558,32.30223,29.93793,25.71676,20.31773,15.76511,13.07642,11.62825,10.93675,10.58564,10.54922,10.74391,11.30462,12.11758,13.18487,14.272,15.33316,16.34907,17.43099,18.47503,19.41896,20.29381,21.06636,21.80391,22.49089,23.1264,23.63215,24.0271,24.39824,24.56212,24.53495,24.56685,24.65272,24.32482,23.94882,23.53874,23.19827,22.93815,22.56722,21.95701,21.35006,20.96576,20.6671,20.52976,20.59351,20.70339,20.71174,20.65171,20.39759,19.76597,18.54425,16.46649,13.21058,9.44008,6.35055,4.96969,4.13734,4.10835,4.04159,4.10436,4.28535,4.53484,4.84017,5.22429,5.55487,6.12793,6.55536,7.05477,7.63952,8.02235,8.46808,8.97715,9.45471,10.03845,10.38162,10.90869,11.1669,11.46726,11.78899,12.29359,12.62128,12.9862,13.01425,13.47348,13.79008,13.77016,13.76008,14.0555,14.13004,13.78814,13.13053,12.66554,12.1371,11.63709,11.10357,10.67586,10.32309,9.9198,9.51531,9.46996,8.86853,8.94798,8.55182,8.58908,8.16815,7.25217,7.03434,7.33304,7.18875,6.05927,6.39562,6.6163,7.29524,6.6427,5.74584,5.9318
Healthy,3.74299,4.63272,6.33524,8.56322,10.76416,12.29122,12.07371,10.57803,9.22147,8.49732,7.99363,7.06215,6.37528,6.18558,5.53226,4.74447,3.96021,3.48935,3.78282,8.03144,20.19982,33.1546,42.56621,48.27736,51.17942,52.49607,53.06646,53.35796,53.50719,53.62322,53.72825,53.81258,53.86255,53.89249,53.98689,54.0405,54.05451,54.07431,54.04894,54.00486,53.96208,53.88891,53.79244,53.68119,53.42066,52.90486,52.42562,52.21938,52.1939,52.215,52.45952,52.75835,52.99253,53.29814,53.44819,53.59981,53.75242,53.81303,53.83167,53.78624,53.64165,53.4601,53.12355,52.38655,51.16571,49.94701,49.22321,48.84402,48.5213,48.27135,48.27284,48.53692,48.93456,49.30013,49.5378,49.70676,49.79699,49.79741,49.65412,49.39528,48.84897,47.99548,46.7599,45.26998,43.74375,42.31333,40.76592,38.33288,33.8463,27.68475,21.89383,18.02431,15.83212,14.68797,14.19489,14.07445,14.28978,14.955,15.96775,17.18907,18.46243,19.70727,20.87878,22.06089,23.13929,24.19891,25.05674,25.87889,26.67166,27.45945,28.19315,28.81598,29.28946,29.71122,29.90071,29.80866,29.67076,29.70973,29.46077,28.93243,28.43436,27.88541,27.40116,27.05606,26.62008,26.02005,25.6808,25.47882,25.44177,25.53468,25.61947,25.76817,25.7921,25.70785,25.20835,23.92559,21.66282,17.69884,12.34991,7.68009,4.91488,3.4799,3.10357,3.11617,3.28913,3.59099,4.01908,4.55429,5.15485,5.79062,6.60782,7.25282,7.97056,8.6469,9.11883,9.57133,10.08031,10.59627,11.11527,11.48883,11.95655,12.22563,12.40364,12.77308,13.19498,13.60314,14.05363,14.26622,14.8814,15.48295,15.64682,16.01568,16.4406,16.42408,16.02869,15.21296,14.48831,13.5536,12.89517,12.1916,11.65839,11.44323,10.97347,10.76108,10.11806,9.85365,9.5315,9.00134,8.43928,8.32946,7.96484,6.91976,6.90602,6.29487,6.21618,6.04602,5.31432,5.43577,4.34177,4.34445,4.8863
Healthy,5.18315,6.23946,8.53988,11.24664,13.43128,14.70756,14.08224,12.16332,10.53151,9.73292,9.17014,8.12453,7.38436,7.18054,6.51023,5.70476,4.97845,4.61996,4.98715,9.40968,22.33661,36.47424,47.42738,54.48453,58.16608,59.8279,60.44355,60.7952,60.95575,61.07456,61.16076,61.23387,61.31284,61.37794,61.43519,61.46997,61.46596,61.4286,61.38512,61.25529,61.19361,61.10369,60.96532,60.76336,60.49575,59.95969,59.46945,59.32323,59.25175,59.15156,59.32615,59.5536,59.76218,60.03473,60.24654,60.38827,60.50172,60.55498,60.53285,60.47818,60.34963,60.13189,59.72358,58.98002,57.62715,56.33426,55.54124,55.11087,54.74094,54.50409,54.44445,54.71611,55.159,55.51778,55.76102,55.97512,56.0394,56.02542,55.84404,55.59182,54.95843,54.07667,52.7073,51.13326,49.49216,47.91847,46.25917,43.60658,38.71584,31.88801,25.47978,21.14327,18.62228,17.32502,16.67634,16.52833,16.75886,17.48142,18.61883,19.97113,21.38727,22.78201,24.09382,25.40292,26.6528,27.81378,28.80702,29.75846,30.63334,31.45206,32.27553,32.98041,33.53144,34.02889,34.20099,34.11236,34.02052,34.05219,33.67253,33.17699,32.58377,32.00627,31.52038,31.06572,30.57765,30.0084,29.57663,29.34096,29.27559,29.42929,29.56957,29.6748,29.6775,29.62157,28.99031,27.70139,25.14262,20.5884,14.7858,9.15947,6.17053,4.72451,4.31188,4.31016,4.51085,4.73353,5.29232,5.83592,6.42575,7.17158,7.93401,8.84842,9.60148,10.33804,10.95144,11.40752,12.02043,12.53308,13.24141,13.62645,14.28564,14.51436,14.79043,15.17848,15.43396,16.16396,16.70718,16.95421,17.49649,18.18619,18.48036,18.82802,19.26779,19.15553,18.96471,17.97278,16.91423,16.12712,15.30588,14.42718,13.65152,13.44722,13.39234,12.64716,12.05253,11.83954,11.15065,10.82914,10.54686,10.07107,9.37205,8.23731,7.98606,7.29096,6.8541,6.93176,6.29156,5.58617,5.83845,6.23156,5.4749
Healthy,4.32373,5.43988,6.51496,7.16402,7.80067,8.78375,10.21582,11.78936,13.25463,14.56699,15.34486,14.66665,13.72863,13.50305,11.84701,9.50871,6.76096,4.82731,5.83848,15.47021,29.64503,38.41855,42.76487,44.84393,45.77305,46.17473,46.30581,46.39344,46.40531,46.40862,46.43245,46.4111,46.42077,46.37834,46.36461,46.30541,46.25065,46.14875,46.04984,45.9183,45.88219,45.77243,45.65037,45.47552,45.17367,44.57408,44.14328,43.98454,43.88526,43.7785,43.96418,44.18781,44.40328,44.54633,44.69417,44.81939,44.81956,44.82142,44.83193,44.70902,44.57371,44.33922,44.0122,43.30145,42.0735,41.01929,40.48962,40.24596,39.99874,39.82495,39.85371,40.06496,40.31083,40.48104,40.58751,40.71734,40.71259,40.65274,40.50975,40.19017,39.65697,38.85153,37.71644,36.37735,35.02013,33.78706,32.3534,30.04437,25.80975,20.18341,15.38249,12.46034,10.91783,10.1774,9.8113,9.7374,9.97689,10.58417,11.48485,12.58372,13.77836,14.91086,16.03805,17.17416,18.25322,19.2896,20.10671,21.03351,21.78635,22.49247,23.14389,23.65656,24.05173,24.40304,24.58252,24.53759,24.54251,24.63594,24.3417,23.93097,23.52541,23.16903,22.9079,22.50875,21.94152,21.32482,20.86197,20.48994,20.44343,20.49986,20.59943,20.59847,20.53423,20.32631,19.65235,18.39212,16.22126,12.72044,8.61698,5.36342,3.72026,2.96497,2.75492,2.63858,2.94561,3.03745,3.33203,3.60184,3.96382,4.42915,4.94518,5.49676,6.00868,6.72388,7.25521,7.74532,8.276,8.83569,9.56622,9.94263,10.52976,10.87437,11.21756,11.656,12.10909,12.53899,12.95974,13.12631,13.48085,13.93393,13.83994,13.8309,14.23033,14.09299,13.75762,13.09487,12.38885,11.74721,11.1546,10.44259,10.07008,9.70136,9.23051,8.44407,8.08181,7.80811,7.52959,7.62245,7.38307,6.18345,6.43834,6.04759,5.33801,4.9535,4.98617,4.4448,4.0172,4.32382,4.33594,5.47055,5.6706
Healthy,6.27764,7.34788,8.3686,8.99552,9.7491,10.76764,12.21082,13.92898,15.54537,17.02375,18.0265,17.63078,16.89056,16.86375,15.69206,13.39933,10.12431,7.75108,8.73948,18.26165,30.96512,38.25996,41.66944,43.27087,44.02882,44.42521,44.6117,44.77006,44.89152,44.9933,45.07648,45.14158,45.19047,45.19876,45.22217,45.20546,45.18248,45.15146,45.09219,45.00685,44.96229,44.86034,44.7242,44.56022,44.23586,43.64157,43.19094,43.03574,43.02355,43.08199,43.31177,43.58451,43.7998,44.02424,44.20361,44.29338,44.26768,44.31233,44.29123,44.21158,44.05719,43.83926,43.48434,42.75749,41.49818,40.35055,39.80022,39.59396,39.385,39.17918,39.19095,39.43101,39.69869,39.84916,40.01615,40.12459,40.15896,40.12613,39.9276,39.60251,39.02366,38.15478,36.98039,35.5938,34.19657,32.93545,31.5036,29.1718,24.96666,19.57337,15.05679,12.43996,11.10609,10.47587,10.18755,10.1686,10.37,10.88748,11.68605,12.69748,13.79251,14.81815,15.86432,16.93241,17.96261,18.9086,19.74624,20.58436,21.30046,21.98356,22.60391,23.09976,23.48211,23.839,23.98463,23.98424,23.97762,24.07688,23.87216,23.535,23.19394,22.77485,22.45208,22.02073,21.47625,20.87495,20.43336,20.0758,19.96477,19.98726,20.04431,20.02562,19.97363,19.76769,19.14475,17.91194,15.80467,12.61324,8.99993,6.3165,4.98941,4.38164,4.37143,4.23521,4.37467,4.44007,4.6691,4.90958,5.17049,5.39901,5.8086,6.18098,6.55879,6.97822,7.38678,7.77146,8.13321,8.52684,9.01833,9.34814,9.8495,10.0653,10.37232,10.64145,10.95451,11.38435,11.74501,11.75854,12.05801,12.43954,12.43107,12.48784,12.70297,12.67229,12.3997,12.00833,11.56079,11.02597,10.49878,10.14623,9.53157,9.46745,9.32328,8.99233,8.30315,8.13441,8.25584,8.18724,7.41496,7.6917,6.97665,6.63617,6.8793,6.6557,6.4445,6.72551,5.83526,5.4606,5.72302,5.91375,6.1837
Healthy,4.37598,5.3595,7.11136,9.13071,11.10879,12.6189,12.50695,11.11736,9.83813,9.15082,8.66119,7.79179,7.13248,6.92166,6.13769,5.32561,4.54589,4.0519,4.41842,9.12245,21.19629,33.13109,41.46218,46.46931,49.0298,50.21493,50.65136,51.00238,51.18098,51.3303,51.44142,51.51432,51.61239,51.69823,51.80367,51.87731,51.94573,51.98448,51.99508,51.96084,51.96825,51.94213,51.86808,51.74516,51.54276,51.0993,50.7549,50.66106,50.64865,50.66764,50.97845,51.34231,51.65009,51.94403,52.14117,52.29236,52.42772,52.5126,52.60208,52.58415,52.45235,52.29756,51.97195,51.32047,50.18272,49.06736,48.41141,48.08861,47.83694,47.61235,47.601,47.88968,48.29461,48.65693,48.90389,49.07592,49.17446,49.20503,49.09191,48.83983,48.33738,47.48159,46.33808,44.93298,43.45472,42.09378,40.55514,38.22843,33.92409,27.94595,22.2838,18.42563,16.24829,15.12314,14.58679,14.4853,14.69003,15.32453,16.32256,17.5048,18.74905,19.91712,21.1071,22.25923,23.31289,24.2838,25.18285,25.99661,26.75712,27.50322,28.19542,28.75794,29.30763,29.64996,29.81907,29.67686,29.5603,29.64556,29.45123,28.98713,28.4927,27.97443,27.54273,27.18193,26.75482,26.19957,25.8867,25.66065,25.57222,25.68259,25.79965,25.87321,25.95958,25.87509,25.37027,24.2035,22.20361,18.21772,13.10811,8.16527,5.5132,4.05436,3.58487,3.6901,3.81927,4.1194,4.55872,5.12734,5.73888,6.34722,7.11798,7.87534,8.54645,9.33127,9.7075,10.20113,10.84262,11.25655,11.78512,12.05215,12.54233,12.78653,12.87819,13.15193,13.46935,14.0569,14.56315,14.78805,15.30399,15.93829,16.17231,16.51289,16.95344,16.86345,16.48009,15.79397,15.01989,14.17731,13.63108,12.69319,12.28348,11.81864,11.58272,11.35923,10.38023,10.43855,9.81158,9.67652,9.21278,8.61394,8.51931,7.9573,7.4226,7.556,7.07084,6.50348,5.67379,4.8859,6.30467,6.38254,6.1711
Healthy,3.36665,4.27091,6.32172,8.70464,10.68201,11.94632,11.4265,9.56127,7.99822,7.19719,6.64165,5.69036,5.03209,4.82103,4.14161,3.45153,2.94086,2.73456,3.06439,7.08528,19.55731,32.99751,43.27073,49.82356,53.2343,54.75382,55.38871,55.63686,55.78492,55.89614,55.97625,56.04897,56.11914,56.15053,56.24774,56.28958,56.28203,56.30219,56.25705,56.18961,56.13993,56.0497,55.97155,55.87316,55.70573,55.2353,54.86899,54.68862,54.56794,54.53256,54.66393,54.841,54.98969,55.22746,55.37968,55.50856,55.62195,55.66031,55.67987,55.6579,55.54534,55.42542,55.10023,54.49326,53.3875,52.27894,51.60491,51.26867,50.95444,50.68827,50.651,50.98632,51.32285,51.658,51.89392,52.02529,52.12513,52.0971,51.9592,51.70809,51.23691,50.50601,49.36809,48.00263,46.55445,45.18179,43.6907,41.28697,36.805,30.39406,24.20672,19.9619,17.53251,16.23897,15.65785,15.51893,15.77526,16.49293,17.61666,18.94557,20.31186,21.68579,22.96949,24.23931,25.41268,26.52556,27.42438,28.38526,29.20889,29.98035,30.75446,31.41796,31.9311,32.32141,32.51387,32.39262,32.29979,32.30427,32.05826,31.50507,30.93716,30.39885,29.90919,29.54317,29.07805,28.47604,28.12214,27.88842,27.83927,28.00488,28.06686,28.21076,28.24288,28.127,27.64571,26.34986,24.00527,19.62582,13.58041,7.96233,4.99712,3.56967,3.29803,3.29598,3.41344,3.7625,4.32226,4.87331,5.47586,6.28964,7.08096,7.85709,8.61129,9.39795,9.86393,10.44655,10.9397,11.54913,12.19741,12.46205,13.10556,13.26084,13.56389,13.901,14.28281,14.91663,15.43686,15.62618,16.20761,16.82488,17.14465,17.3491,17.79149,17.67351,17.23691,16.42984,15.40757,14.56403,13.85182,13.10452,12.35593,11.74221,11.75767,11.12295,10.71762,10.45635,10.04653,9.83992,9.1198,8.89468,8.96466,7.83477,7.102,6.13475,6.58112,5.97843,5.29933,5.70382,5.39166,4.7089,4.8387
Healthy,7.59374,8.84093,9.9818,10.54741,11.13478,12.14337,13.74644,15.57363,17.26674,18.71958,19.61372,19.04394,18.12938,17.87631,15.87062,13.27947,10.36655,8.12299,9.37898,20.22405,34.61599,42.76951,46.59636,48.36546,49.15729,49.43246,49.44078,49.53227,49.53543,49.53734,49.51349,49.49313,49.44384,49.38435,49.35114,49.26729,49.16633,49.06024,48.91744,48.76694,48.65261,48.49883,48.32517,48.06431,47.72553,47.06402,46.60747,46.44842,46.38097,46.38373,46.55217,46.74716,46.92213,47.09064,47.194,47.31386,47.33549,47.3313,47.26087,47.15944,46.97323,46.72619,46.32066,45.60966,44.37833,43.28729,42.73775,42.49135,42.25278,42.08579,42.03392,42.24208,42.43822,42.56386,42.71435,42.82567,42.84431,42.75818,42.57009,42.20314,41.65592,40.82052,39.72604,38.37605,37.0644,35.78418,34.45993,32.20599,28.16494,22.74494,18.00347,15.10377,13.5257,12.72193,12.34585,12.26072,12.49251,13.06494,13.93737,15.03153,16.17939,17.28701,18.38161,19.47095,20.52126,21.46115,22.34136,23.17487,23.87905,24.53385,25.12643,25.68217,26.05828,26.40667,26.51385,26.48334,26.48713,26.53948,26.37789,26.01869,25.67366,25.31122,25.07764,24.65288,24.08964,23.52664,23.02988,22.70821,22.61258,22.67958,22.75284,22.72947,22.70829,22.47843,21.84518,20.64651,18.64322,15.21019,10.99445,7.5879,5.60213,4.94317,4.75213,4.7556,4.88301,5.04591,5.37466,5.63271,6.08808,6.62189,7.13462,7.6758,8.22038,8.88444,9.35408,9.87475,10.52378,10.98031,11.59031,11.98939,12.59439,12.79428,13.21581,13.51984,13.90624,14.41911,14.75178,14.78615,15.15116,15.60463,15.57636,15.644,15.95002,15.88555,15.57066,15.1729,14.47518,13.81916,13.39896,12.72174,12.35357,12.1392,11.52554,11.0625,10.83684,10.38982,10.22234,9.84866,9.22549,8.95321,8.96365,8.70772,8.03899,6.85836,6.20208,6.22572,6.12622,6.70936,6.50092,7.14951,7.4996
